Statistic	PH1177	PH1178	PH1183	PH1184	PH1194	PH1203	PH1199R	PH1199N	PH1214.5	PH1214.30	PH1217.10	PH1217.30	PH1217.S10	PH1217.F30	PH1230	PH1238	PH1239	PH1243	B23	B30	B31	B34	B36	B39	A5	A6	A12	A16	A25	A40	C1	C2	C3	C4	C5	C8
ATAC.Q30.bases.in.sample.index.i1	0.886	0.9299	0.915	0.9254	0.9125	0.9048	0.9143	0.8723	0.8749	0.8943	0.9166	0.8629	0.9297	0.8776	0.8642	0.8552	0.8693	0.9043	0.9513	0.9561	0.9725	0.9526	0.9536	0.9313	0.9512	0.9373	0.9492	0.9566	0.9349	0.9498	0.9494	0.9462	0.9486	0.951	0.9584	0.9646
ATAC.Sequenced.read.pairs	194217558	268489714	35577898	253298272	402265228	238402135	223283343	190896941	234812843	188509917	181757724	201731596	203874138	196350066	190033539	174678558	176518634	243631325	98309828	164118193	193510819	190352107	142812994	156250284	112482073	88009795	123685807	95699749	121153475	188625363	188674834	137466508	100293081	224810588	189358561	178377476
ATAC.TSS.enrichment.score	3.5724	2.1573	5.2782	1.923	2.3971	2.3194	5.7005	8.174	6.3245	6.661	7.5052	8.0644	4.2466	6.1357	7.3697	4.5124	5.3892	4.0786	4.1167	4.5995	3.531	5.2471	10.1551	3.7551	2.4695	4.2343	2.9545	2.9229	4.5647	3.7449	3.0108	3.5037	7.1808	3.2266	2.7262	6.3754
ATAC.Unmapped.read.pairs	0.0061	0.0061	0.0041	0.0041	0.0057	0.0049	0.0182	0.0286	0.0076	0.0126	0.0214	0.0113	0.0457	0.012	0.0107	0.0112	0.0067	0.0076	0.0063	0.0071	0.0062	0.0051	0.0094	0.0139	0.0074	0.0172	0.0073	0.0059	0.0165	0.0111	0.0076	0.0074	0.0078	0.0115	0.0079	0.0086
ATAC.Valid.barcodes	0.986	0.9864	0.9384	0.9872	0.9856	0.9855	0.9851	0.9861	0.9886	0.9846	0.9861	0.9863	0.9875	0.9877	0.9265	0.9507	0.9568	0.9673	0.9654	0.9804	0.9807	0.98	0.9834	0.9803	0.9605	0.9635	0.9642	0.9693	0.9647	0.9762	0.9682	0.9672	0.9744	0.9673	0.9643	0.9765
GEX.Fraction.of.transcriptomic.reads.in.cells	0.6695	0.2359	0.0237	0.5335	0.401	0.4065	0.2888	0.7124	0.3902	0.7671	0.7403	0.5799	0.6358	0.6341	0.7435	0.6178	0.7572	0.6358	0.7748	0.3906	0.684	0.7676	0.8381	0.155	0.5276	0.6338	0.1842	0.5704	0.7885	0.5727	0.68	0.6685	0.686	0.5976	0.1047	0.8107
GEX.Mean.raw.reads.per.cell	47600.72	38232.42	261622.3	286157.9	86440.55	26166.43	28044.62	44798.24	7256.702	29706.19	46129.64	90479.42	58207.8	53623.02	28458.1	22484.72	22623.14	76722.15	19098.6	43031.9	140869.6	22871.34	23044.14	51339.5	48688.54	29038.39	67155.95	72868.05	31616.11	16594.74	25127.17	16355.6	31823.42	56008.49	207297.8	68202.64
GEX.Median.UMI.counts.per.cell	607	2491	3	2664.5	642	521	979	738	116	463	82	865	1497	2817	5705.5	161	2935	2169.5	2402	1242	1583	1359	2205.5	561	1328	2414	1413	1592	2563	151	1385	1356	2415.5	2260	589.5	3026
GEX.Median.genes.per.cell	422	1359	3	1376	472	394	703	596.5	109	383	71	625	1072	1652	2899	143	1728	1494	1340.5	849	973	861	1274	371	897	1413	723	1046	1433.5	136	861	897	1298.5	1360	349.5	1669.5
GEX.Percent.duplicates	0.9128	0.4328	0.9613	0.9018	0.9422	0.912	0.6154	0.8877	0.8597	0.8266	0.9728	0.9015	0.8824	0.7213	0.4124	0.8694	0.3973	0.8408	0.7144	0.8134	0.9041	0.7738	0.768	0.8206	0.8663	0.732	0.7325	0.917	0.8075	0.9094	0.8145	0.7174	0.7614	0.8329	0.9357	0.8706
GEX.Q30.bases.in.UMI	0.9586	0.9587	0.9714	0.9703	0.97	0.972	0.9725	0.9725	0.9635	0.9628	0.9613	0.963	0.9617	0.9625	0.9434	0.9423	0.9432	0.9449	0.9818	0.9744	0.9658	0.98	0.9769	0.9763	0.9806	0.9825	0.9825	0.9786	0.9825	0.9759	0.9794	0.978	0.9793	0.9811	0.9733	0.9613
GEX.Q30.bases.in.barcode	0.9563	0.9578	0.9612	0.963	0.9566	0.96	0.9604	0.961	0.9568	0.9568	0.9546	0.9563	0.9547	0.956	0.9478	0.9465	0.9484	0.9489	0.9796	0.9741	0.9705	0.9785	0.9752	0.9751	0.9786	0.9807	0.9809	0.9771	0.9807	0.9765	0.9777	0.9763	0.977	0.9795	0.9733	0.9657
GEX.Q30.bases.in.read.2	0.9442	0.946	0.9239	0.9464	0.9515	0.9611	0.9372	0.9603	0.9446	0.9363	0.9497	0.9477	0.9538	0.9557	0.9255	0.9139	0.9208	0.9096	0.8067	0.7388	0.7367	0.8206	0.8126	0.7341	0.755	0.7211	0.7649	0.7264	0.795	0.7417	0.7735	0.7547	0.7766	0.7769	0.7368	0.7692
GEX.Q30.bases.in.sample.index.i1	0.9783	0.9644	0.852	0.9588	0.9076	0.8553	0.8943	0.9391	0.9335	0.9767	0.9617	0.9632	0.9223	0.9685	0.9632	0.9599	0.9701	0.9165	0.8784	0.8756	0.9631	0.808	0.8977	0.8722	0.9334	0.9366	0.9509	0.9277	0.9294	0.9587	0.9237	0.9408	0.8516	0.8534	0.9781	0.9194
GEX.Q30.bases.in.sample.index.i2	0.9353	0.9565	0.948	0.9172	0.9632	0.9678	0.9764	0.9615	0.9109	0.9664	0.9613	0.9697	0.9608	0.9645	0.9189	0.9068	0.9002	0.8811	0.8167	0.4767	0.7314	0.5966	0.6666	0.8922	0.8092	0.8404	0.7733	0.9156	0.846	0.7303	0.8511	0.8826	0.8234	0.6818	0.6626	0.782
GEX.Reads.mapped.antisense.to.gene	0.1132	0.1041	0.0187	0.1046	0.1963	0.0889	0.1093	0.1967	0.2128	0.1301	0.1213	0.0664	0.0911	0.078	0.2168	0.1219	0.157	0.2195	0.1455	0.075	0.0622	0.11	0.1702	0.0822	0.0633	0.06	0.062	0.0622	0.0873	0.0674	0.1098	0.0795	0.1878	0.1192	0.0573	0.0578
GEX.Reads.mapped.confidently.to.exonic.regions	0.5244	0.486	0.0428	0.3783	0.2933	0.6144	0.3961	0.4057	0.3578	0.4969	0.369	0.3344	0.1747	0.1941	0.2492	0.464	0.4828	0.3827	0.3938	0.48	0.1258	0.5688	0.4471	0.5034	0.3858	0.5649	0.462	0.4949	0.4407	0.3319	0.4255	0.4403	0.4703	0.4108	0.5691	0.3347
GEX.Reads.mapped.confidently.to.genome	0.8557	0.881	0.0831	0.7717	0.8342	0.9248	0.7098	0.8731	0.8253	0.8201	0.7723	0.7137	0.7856	0.7405	0.8797	0.8352	0.9036	0.8743	0.9103	0.7003	0.2629	0.9033	0.8816	0.8052	0.8126	0.8812	0.8532	0.8577	0.8852	0.521	0.8672	0.8595	0.9078	0.8677	0.7894	0.5857
GEX.Reads.mapped.confidently.to.intergenic.regions	0.0981	0.1416	0.0215	0.1819	0.1498	0.056	0.1071	0.049	0.0532	0.0483	0.0834	0.0891	0.0781	0.0928	0.0913	0.058	0.0646	0.0622	0.0836	0.0558	0.0153	0.0579	0.0523	0.1353	0.1786	0.0776	0.1914	0.1212	0.0885	0.0392	0.13	0.129	0.0653	0.1263	0.1219	0.0445
GEX.Reads.mapped.confidently.to.intronic.regions	0.2333	0.2534	0.0189	0.2115	0.3911	0.2544	0.2066	0.4184	0.4142	0.2748	0.3198	0.2901	0.5329	0.4536	0.5392	0.3132	0.3562	0.4295	0.433	0.1644	0.1218	0.2766	0.3822	0.1665	0.2483	0.2386	0.1998	0.2416	0.356	0.1499	0.3117	0.2902	0.3722	0.3306	0.0984	0.2065
GEX.Reads.mapped.confidently.to.transcriptome	0.6396	0.6296	0.0425	0.4811	0.4831	0.7734	0.4894	0.621	0.5531	0.6362	0.5618	0.5527	0.6081	0.5624	0.5642	0.6492	0.676	0.5858	0.6728	0.5635	0.1832	0.7273	0.6517	0.5831	0.5647	0.7351	0.5961	0.6669	0.7008	0.4099	0.6211	0.6446	0.6489	0.6155	0.6054	0.4785
GEX.Reads.mapped.to.genome	0.9566	0.9612	0.1435	0.9055	0.9285	0.9621	0.8706	0.9613	0.9136	0.8825	0.9528	0.9112	0.9338	0.9615	0.9596	0.9289	0.9657	0.9556	0.9524	0.7256	0.2723	0.9343	0.9127	0.8847	0.925	0.9282	0.9313	0.9121	0.9431	0.5487	0.9358	0.9193	0.9374	0.9273	0.8396	0.6101
GEX.Reads.with.TSO	0.0799	0.0961	0.8113	0.4355	0.1674	0.1023	0.3405	0.1043	0.2391	0.3456	0.224	0.4517	0.602	0.3816	0.1793	0.2864	0.2401	0.1406	0.1207	0.2797	0.6374	0.1543	0.1601	0.1974	0.233	0.1712	0.2059	0.1741	0.1948	0.4355	0.139	0.1592	0.134	0.2008	0.1694	0.3578
GEX.Sequenced.read.pairs	184405197	123299545	80318038	173411658	164842138	87579029	112486957	104379900	145134045	170869982	172524843	175258637	166066863	175400899	180424344	205442856	222634320	232775017	102024741	97983636	151716512	68110838	118170326	81578471	90804118	77735761	74475943	90356382	101234789	150995496	127671156	88696424	142123387	137444826	106965667	156456858
GEX.Total.genes.detected	27100	26818	1053	25440	23663	23568	27189	26908	26697	28860	22745	26210	27525	29370	31296	28781	31187	30027	26067	26351	20011	26533	26370	24682	25937	27420	23764	25764	27130	26849	26850	27611	25740	28410	19796	24339
GEX.Valid.UMIs	0.9919	0.9919	0.9996	0.9997	0.9968	0.9967	0.9968	0.9968	0.9937	0.9938	0.9938	0.9938	0.9939	0.9939	0.9995	0.9995	0.9995	0.9995	0.9981	0.9977	0.9982	0.9994	0.9994	0.9996	0.9982	0.9982	0.9983	0.9983	0.9982	0.9988	0.9982	0.9983	0.997	0.9968	0.9996	0.9981
GEX.Valid.barcodes	0.9539	0.9479	0.7734	0.9454	0.9237	0.9378	0.9297	0.9224	0.9306	0.9552	0.913	0.9531	0.9656	0.9505	0.9414	0.9518	0.9472	0.9299	0.9638	0.9704	0.9907	0.9731	0.9753	0.9502	0.9575	0.971	0.9631	0.9711	0.965	0.9803	0.959	0.966	0.9722	0.9694	0.9485	0.982
